Product_Url,Product_Name,List_Price,Sale_Price,Brand,Category,Aisle,Shelf,,Quantity,,,,,
https://www.walmart.com/ip/Allegiance-Economy-Dual-scale-Digital-Thermometer/841023007,Allegiance Economy Dual-scale Digital Thermometer,11.11,11.11,Cardinal Health,Health,5, C,Aisle: 5  shelf:C,7,,,,,
https://www.walmart.com/ip/Kenneth-Cole-Reaction-Eau-De-Parfum-Spray-For-Women-3-40-Oz/838994507,Kenneth Cole Reaction Eau De Parfum Spray For Women 3.40 Oz,23.99,23.99,Kenneth Cole,Premium Beauty,7, A,Aisle: 7  shelf:A,5,,,,,Aisle
https://www.walmart.com/ip/Kid-Tough-Fitness-Inflatable-Free-Standing-Punching-Bag-Machine-Washable-Fabric-Cover-South-Carolina-Gamecocks-Kids-Workout-Buddy-by-Bonk-Fit/55701060,Kid Tough Fitness Inflatable Free-Standing Punching Bag + Machine Washable Fabric Cover South Carolina Gamecocks Kids Workout Buddy by Bonk Fit,30.76,30.76,BONK FIT,Sports & Outdoors,3, B,Aisle: 3  shelf:B,7,,,,,Shelf
https://www.walmart.com/ip/THE-FIRST-YEARS/16767821,THE FIRST YEARS,6.99,6.99,The First Years,Baby,8, D,Aisle: 8  shelf:D,8,,,,,
https://www.walmart.com/ip/4-Pack-MD-USA-Seamless-Toe-Wave-In-Mesh-Diabetic-Crew-Socks-Black-Medium-1-Pair/649431823,"4 Pack - MD USA Seamless Toe-Wave-In Mesh Diabetic Crew Socks, Black, Medium, 1 Pair",28.27,28.27,MD USA,Health,2, A,Aisle: 2  shelf:A,7,,,,,
https://www.walmart.com/ip/Gerber-2nd-Foods-Apple-Baby-Food-4-oz-Tubs-2-Count/43160762,Gerber 2nd Foods Apple Baby Food 4 oz. Tubs 2 Count,1.36,1.36,Gerber,Baby,6, B,Aisle: 6  shelf:B,7,,,,,
https://www.walmart.com/ip/Kushies-Ultra-Lite-All-In-One-Form-Fitted-Washable-Cloth-Diapers-Blue-Whales-Infant/702895130,"Kushies Ultra-Lite All-In-One Form-Fitted Washable Cloth Diapers (Blue Whales, Infant)",14.95,14.95,Kushies,Baby,1, C,Aisle: 1  shelf:C,6,,,,,
https://www.walmart.com/ip/sunmark-Stop-Smoking-Aid-14-mg-Strength-Transdermal-Patch-70677003101-Box-of-14/202319193,"sunmark Stop Smoking Aid 14 mg Strength Transdermal Patch, 70677003101 - Box of 14",41.67,41.67,sunmark,Health,4, A,Aisle: 4  shelf:A,10,,,,,
https://www.walmart.com/ip/Berkley-PowerBait-Glitter-Chroma-Glow-Dough-Fishing-Bait/32174242,Berkley PowerBait Glitter Chroma-Glow Dough Fishing Bait,5.26,5.26,Berkley,Sports & Outdoors,9, D,Aisle: 9  shelf:D,2,,,,,
https://www.walmart.com/ip/Mikasa-Rubber-Basketball-Intermediate-28-5/33396611,"Mikasa Rubber Basketball, Intermediate, 28.5",14.17,14.17,Mikasa,Sports & Outdoors,11, B,Aisle: 11  shelf:B,3,,,,,
https://www.walmart.com/ip/Dr-Brown-s-Options-9-Oz-Wide-Neck-Baby-Bottle/125091904,Dr. Browns Options 9 Oz. Wide-Neck Baby Bottle,10.84,10.84,Dr. Browns,Baby,10, A,Aisle: 10  shelf:A,4,,,,,
https://www.walmart.com/ip/Mojo-Outdoors-Mojo-Pick-Stick/24017515,Mojo Outdoors Mojo Pick Stick,31.99,31.99,Mojo Outdoors,Sports & Outdoors,12, C,Aisle: 12  shelf:C,4,,,,,
https://www.walmart.com/ip/Jaypro-Sports-PR-524-24-in-Step-Down-Pitching-Rubber-Official/27377757,Jaypro Sports PR-524 24 in. Step Down Pitching Rubber - Official,80.48,80.48,Jaypro Sports,Sports & Outdoors,15, B,Aisle: 15  shelf:B,5,,,,,
https://www.walmart.com/ip/Sundeal-R7-50cm-Road-Bike-6061-Aluminum-Frameset-Fork-Extras-700c-Silver-NEW/901020918,Sundeal R7 50cm Road Bike 6061 Aluminum Frameset + Fork / Extras 700c Silver NEW,119.97,119.97,Sundeal,Sports & Outdoors,14, D,Aisle: 14  shelf:D,10,,,,,
https://www.walmart.com/ip/Asics-Womens-Bikini-Bottom-Volleyball-Athletic-Swimwear/605743589,Asics Womens Bikini Bottom Volleyball Athletic Swimwear -,39.95,39.95,ASICS,Sports & Outdoors,1, F,Aisle: 1  shelf:F,10,,,,,
https://www.walmart.com/ip/Pack-of-2-Mints-Peppermint-1-5-oz/257983656,"Pack of 2 - Mints, Peppermint, 1.5 oz",7.97,7.97,365 EVERYDAY VALUE,Food,1, H,Aisle: 1  shelf:H,6,,,,,
https://www.walmart.com/ip/Zaqw-50cm-Lightweight-Mini-2-Sections-Winter-Ice-Solid-Fishing-Shrimp-Rod-Pole-Shrimp-Fishing-Pole-Fishing-Rod/395249455,"Zaqw 50cm Lightweight Mini 2 Sections Winter Ice Solid Fishing Shrimp Rod Pole, Shrimp Fishing Pole,Fishing Rod",11.19,11.19,Zaqw,Sports & Outdoors,1, G,Aisle: 1  shelf:G,7,,,,,
https://www.walmart.com/ip/Stealth-Cam-G45NG-Pro-14-0-Megapixel-No-Glo-Trail-Camera-with-Card-and-Lock-Kit/588308695,Stealth Cam G45NG Pro 14.0-Megapixel No Glo Trail Camera with Card and Lock Kit,139,139,Stealth Cam,Sports & Outdoors,1, K,Aisle: 1  shelf:K,6,,,,,
